0,-183.06333923339844,134.5253448486328,388.4906921386719,OC-1
1,-161.19866943359375,143.21142578125,373.0341491699219,OC-2
2,-146.24649047851562,150.3972625732422,350.1752624511719,
3,-132.5890655517578,156.54454040527344,325.7712707519531,OC-3
4,-118.43697357177734,161.04762268066406,302.355224609375,
5,-103.34527587890624,166.40673828125,278.4706115722656,
6,-88.98797607421875,173.11476135253906,255.04612731933597,OC-4
7,-73.37680053710938,179.19070434570312,232.2772979736328,
8,-59.28569793701172,180.42068481445312,207.7810211181641,OC-5
9,-49.86494064331055,174.74037170410156,182.1732177734375,OC-6
0,-196.10968017578125,158.4761199951172,418.0602111816406,Superior Anatomical Neck
1,-198.5755615234375,129.76197814941406,413.6854553222656,Max curvature Head
2,-183.1151123046875,134.56320190429688,388.4548034667969,Inferior Anatomical Neck
3,-38.141056060791016,219.31735229492188,203.0186920166016,Most Lateral Epiphysis
4,-49.76124572753906,174.91897583007812,182.1300506591797,Most medial point of the epiphysis
5,-45.9602165222168,203.9097595214844,198.60362243652344,Most Lateral Olecranon Fossa
6,-50.48974609375,182.39463806152344,190.7569732666016,Most medial Olecranon Fossa 
7,-50.8114128112793,191.93450927734372,206.57655334472656,Superior Olecranon Fossa
8,-38.430171966552734,195.50247192382807,192.6681365966797,Inferior Olecranon Fossa
9,-39.94148254394531,191.1680908203125,203.2335357666016,Center of Olecranon Fossa
10,-22.00946044921875,211.4001617431641,196.7729339599609,Inferior edge of the capitulum
11,-28.03316879272461,183.5641021728516,184.3334045410156,Inferior edge of the Trochlea 
12,-170.19247436523438,137.6378936767578,421.94183349609375,Max extremity of the Lesser Tubercle
13,-178.4124755859375,162.09690856933594,420.5284729003906,Most lateral extremity of Greater Tubercle
14,-23.15015411376953,205.7849578857422,210.0834045410156,Extremity of the capitulum
15,-25.68411064147949,178.49720764160156,198.6580810546875,Medial eldge of the Trochlea
16,-23.167177200317383,180.045654296875,188.5045166015625,Inferrior edge of the Trochlea
0,-196.0889892578125,158.1913299560547,418.7546997070313,SuprNeck - Infcap-1
1,-173.02291870117188,164.69094848632812,394.4186706542969,
2,-155.61497497558594,166.8175506591797,368.0830078125,SuprNeck - Infcap-2
3,-136.74710083007812,174.5493621826172,341.7984313964844,
4,-115.41311645507812,178.0985870361328,317.80059814453125,SuprNeck - Infcap-3
5,-106.6322250366211,183.14083862304688,285.0296936035156,
6,-92.47782135009766,191.2013397216797,258.16778564453125,SuprNeck - Infcap-4
7,-72.19596099853516,199.63421630859372,234.1610565185547,SuprNeck - Infcap-5
8,-48.0068473815918,205.8042907714844,214.73529052734372,
9,-21.177793502807617,211.3760681152344,196.86843872070312,SuprNeck - Infcap-6
